City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Sao Filipe,CV,14.8961,-24.4956,75.07,81,21,7.38,few clouds
199,San Patricio,US,28.017,-97.5169,86.9,66,9,8.86,clear sky
200,Bibiani,GH,6.4635,-2.3194,83.61,58,97,4.36,overcast clouds
201,Flin Flon,CA,54.7682,-101.865,66.04,77,20,8.05,few clouds
202,Tessalit,ML,20.1986,1.0114,107.89,7,2,8.32,clear sky
203,Itoman,JP,26.1247,127.6694,84.22,89,20,6.91,few clouds
204,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.29,82,94,12.1,overcast clouds
205,Hilo,US,19.7297,-155.09,76.28,100,100,3.44,light rain
206,Gaoua,BF,10.2992,-3.2508,86.11,53,91,10.51,overcast clouds
207,Burns Lake,CA,54.2331,-125.7533,40.42,87,100,2.84,overcast clouds
208,Anadyr,RU,64.75,177.4833,46.9,100,100,11.18,light intensity drizzle
209,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,73,100,7.38,overcast clouds
210,Puerto Del Rosario,ES,28.5004,-13.8627,85.75,62,20,12.66,few clouds
211,Olafsvik,IS,64.8945,-23.7142,51.12,92,100,11.48,overcast clouds
212,Vitorino Freire,BR,-4.0667,-45.1667,82.78,54,23,8.1,few clouds
213,Kavieng,PG,-2.5744,150.7967,82.33,74,94,13.09,overcast clouds
214,Normandin,CA,48.8333,-72.5321,66.51,72,4,1.14,clear sky
215,Vila Velha,BR,-20.3297,-40.2925,75.15,88,75,2.3,broken clouds
216,Phangnga,TH,8.4509,98.5298,82.44,94,100,5.39,light rain
217,Bambous Virieux,MU,-20.3428,57.7575,71.85,60,40,16.11,scattered clouds
218,Arcachon,FR,44.5875,-1.0519,93.42,24,0,10.36,clear sky
219,Fortuna,US,40.5982,-124.1573,59.94,90,100,3.67,overcast clouds
220,Peniche,PT,39.3558,-9.3811,84.29,60,0,11.14,clear sky
221,Provideniya,RU,64.3833,-173.3,47.55,95,100,5.86,overcast clouds
222,Rock Springs,US,41.5875,-109.2029,63.84,36,0,6.91,clear sky
223,Vysha,RU,53.8477,42.3777,81.86,46,75,4.56,broken clouds
224,Cabo San Lucas,MX,22.8909,-109.9124,81.61,66,37,6.73,scattered clouds
225,Taltal,CL,-25.4,-70.4833,60.58,55,52,4.21,broken clouds
226,Itarema,BR,-2.9248,-39.9167,84.54,59,15,15.1,few clouds
227,Kulhudhuffushi,MV,6.6221,73.07,81.54,80,100,17.63,overcast clouds
228,Balykshi,KZ,47.0667,51.8667,96.8,14,0,8.95,clear sky
229,Upernavik,GL,72.7868,-56.1549,39.52,86,18,4.12,few clouds
230,Lucapa,AO,-8.4192,20.7447,89.46,14,4,2.28,clear sky
231,Mushie,CD,-3.0167,16.9,99.09,19,77,2.59,broken clouds
232,Mathbaria,BD,22.2876,89.9593,81.79,85,7,8.43,clear sky
233,Port Blair,IN,11.6667,92.75,82.44,83,100,11.5,drizzle
234,Prince Rupert,CA,54.3161,-130.3201,55.09,93,100,18.41,light rain
235,Nhulunbuy,AU,-12.2333,136.7667,72.21,83,40,12.66,scattered clouds
236,Baraboo,US,43.4711,-89.7443,71.02,68,0,5.75,clear sky
237,Soyo,AO,-6.1349,12.3689,74.95,71,97,11.1,overcast clouds
238,Vostok,RU,46.4856,135.8833,63.77,91,100,2.53,overcast clouds
239,Katsuura,JP,35.1333,140.3,74.91,94,12,5.01,few clouds
240,Chimbote,PE,-9.0853,-78.5783,62.92,82,100,5.88,overcast clouds
241,Shamary,RU,57.3434,58.2199,76.05,67,75,3.15,broken clouds
242,Rorvik,NO,64.8621,11.2373,53.31,83,45,13.22,scattered clouds
243,Mazagao,BR,-0.115,-51.2894,84.25,63,1,3.67,clear sky
244,Texarkana,US,33.4251,-94.0477,81.39,75,0,15.01,clear sky
245,Norman Wells,CA,65.282,-126.8329,55.44,76,75,2.3,smoke
