City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Maldonado,UY,78.19,few clouds,-34.6667,-54.9167,La Cimarrona
447,Kathu,TH,82.22,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
449,Zamora,EC,70.63,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
451,Roma,US,72.73,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
453,Sosnovskoye,RU,82.49,broken clouds,55.8052,43.167,Gostinitsa Mup Zhkkh
456,Avanigadda,IN,81.5,overcast clouds,16.0215,80.9181,AP Camping
457,Sovetskiy,RU,79.03,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
460,Naze,JP,79.72,clear sky,28.3667,129.4833,Shishime Hotel
461,Lasa,IT,76.69,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
463,Datong,CN,73.2,clear sky,40.0936,113.2914,Holiday Inn Datong City Centre
464,Cabras,IT,84.11,clear sky,39.93,8.5314,Hotel Villa Canu
466,Sao Felix Do Xingu,BR,88.27,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
471,Wanning,CN,80.56,overcast clouds,18.8003,110.3967,Paradise Hotel
472,Inongo,CD,75.33,broken clouds,-1.95,18.2667,Hotel Du Lac
475,Loa Janan,ID,75.58,overcast clouds,-0.583,117.095,Kost bu jono
476,Ibotirama,BR,82.17,clear sky,-12.1853,-43.2206,Serra do Rio Hotel
477,Dawei,MM,75.6,overcast clouds,14.0833,98.2,Hotel Dawei
479,Iralaya,HN,81.23,broken clouds,15.0,-83.2333,Iglesia morava renovada
480,Kimbe,PG,75.24,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
481,Aromashevo,RU,76.5,overcast clouds,56.8602,68.6375,Gostinitsa
482,Russell,US,79.38,scattered clouds,32.3502,-85.1999,Macs
483,Ust-Ishim,RU,76.66,broken clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
485,Seminole,US,87.26,clear sky,28.7086,-81.2081,The Oviedo Lodge Motel
487,Quchan,IR,82.26,clear sky,37.106,58.5095,گلیم دستبافت کیمیایی
489,Leshukonskoye,RU,77.36,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
491,Balabac,PH,79.32,light rain,7.9868,117.0645,Batalla’s Lodging House
492,Bandar-E Anzali,IR,86.11,clear sky,37.4727,49.4622,هتل بیاچ
498,Quelimane,MZ,78.75,scattered clouds,-17.8786,36.8883,Hotel Flamingo
499,Cravo Norte,CO,79.83,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
500,Carlagan,PH,82.22,light rain,14.975,122.0456,Cabatagan Island
502,Oussouye,SN,87.69,light rain,12.485,-16.5469,Auberge du Routard
503,Pierre,US,74.32,clear sky,44.3683,-100.351,Ramkota Hotel
504,Hamilton,US,73.78,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
506,Kiunga,PG,72.81,heavy intensity rain,-6.1219,141.2906,Airport Lodge Kiunga
507,Steinbach,DE,73.38,scattered clouds,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
508,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
512,Arroio Grande,BR,73.99,clear sky,-32.2375,-53.0869,Motel Bela Vista
513,Seoul,KR,83.8,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
514,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
516,Ixtapa,MX,79.23,overcast clouds,20.7,-105.2,hotel la terminal
518,Morondava,MG,76.23,clear sky,-20.2833,44.2833,La Case Bambou
525,Mayo,US,76.33,few clouds,38.8876,-76.5119,Resorts Resource Group International
527,Kismayo,SO,77.68,light rain,-0.3582,42.5454,Agan-Hotel
529,Auki,SB,76.17,overcast clouds,-8.7676,160.7034,Auki Motel
532,Chapada Dos Guimaraes,BR,71.26,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
533,Nishihara,JP,83.48,few clouds,26.1842,127.7558,Minshuku Agaihama
536,Acandi,CO,80.4,overcast clouds,8.5063,-77.2778,Hotel Patio Bonito
537,Catio,GW,83.03,light rain,11.2833,-15.25,Pausada Morabedja
542,Buchanan,LR,78.66,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
543,Taitung,TW,79.07,few clouds,22.7583,121.1444,Taitung Bali Suites Hotel
544,Ingham,US,71.19,clear sky,42.6,-84.3833,Sunset Mobile Home Park
545,Inhuma,BR,79.66,overcast clouds,-6.6683,-41.7078,Edifício Bezerra
549,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
550,Nakonde,ZM,71.55,scattered clouds,-9.3421,32.745,Masahani Inn Hotel
552,Uyemskiy,RU,80.65,few clouds,64.4743,40.8524,Turkompleks Malyye Karely
553,Tateyama,JP,79.11,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
554,Yarensk,RU,78.49,overcast clouds,62.1675,49.0916,Outskirts hotel
556,Ust-Tsilma,RU,77.56,broken clouds,65.441,52.1498,U Praskov'i
557,Chiredzi,ZW,79.75,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
559,Esteli,NI,73.15,overcast clouds,13.0919,-86.3538,Friends & Family
561,Alencon,FR,84.51,clear sky,48.4333,0.0833,ibis Alençon
562,Balikpapan,ID,81.59,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
564,Saltpond,GH,79.0,overcast clouds,5.2091,-1.0606,Mfantseman Beach Resort
